C1[C@@H](O)CC(C)(C)C[C@@]1(C)CNc(n2)sc(c23)cc(Cl)cc3,20129,19931
C1[C@@H](O)CC(C)(C)C[C@@]1(C)CNc2ccccn2,20081,20152
FC(F)(F)c1ccc(nc1)NC[C@]2(C)CC(C)(C)C[C@@H](C2)O,20121,20173
FC(F)(F)c1cccc(n1)NC[C@]2(C)CC(C)(C)C[C@@H](C2)O,20060,20105
C1[C@@H](O)CC(C)(C)C[C@@]1(C)CNc2ccccc2,20016,19961
C1[C@@H](O)CC(C)(C)C[C@@]1(C)CNc2c(Cl)cccc2,20122,20103
C1[C@@H](O)CC(C)(C)C[C@@]1(C)CNc2cc(Cl)ccc2,19940,20198
C1[C@@H](O)CC(C)(C)C[C@@]1(C)CNc2ccc(Cl)cc2,20187,19941
c1cccc(c1C(F)(F)F)NC[C@]2(C)CC(C)(C)C[C@@H](C2)O,19926,19886
FC(F)(F)c1cc(ccc1)NC[C@]2(C)CC(C)(C)C[C@@H](C2)O,19909,20189
FC(F)(F)c1cc(cc(Cl)c1)NC[C@]2(C)CC(C)(C)C[C@@H](C2)O,19941,19847
C1[C@@H](O)CC(C)(C)C[C@@]1(C)CNc2cc(F)cc(Cl)c2,19972,20082
FC(F)(F)c1c(Cl)ccc(c1)NC[C@]2(C)CC(C)(C)C[C@@H](C2)O,19924,20083
C1[C@@H](O)CC(C)(C)C[C@@]1(C)CNc2cc(ccc2)Oc3ccccc3,19956,20088
NC(=O)c1cc(ccc1)NC[C@]2(C)CC(C)(C)C[C@@H](C2)O,19959,19815
C1[C@@H](O)CC(C)(C)C[C@@]1(C)CNc2cc(S(=O)(=O)C)ccc2,20095,20016
C1[C@@H](O)CC(C)(C)C[C@@]1(C)CNc2cc(S(=O)(=O)N)ccc2,19911,19836
